year,anomaly_pct,season,oni,phase,strength,country,series,value,yoy_pct
2002,32.269,2001,-0.300,neutral,,Brazil,Production Arabica,41600.000,70.492
2004,-3.859,2003,0.400,neutral,,Brazil,Production Arabica,34300.000,45.339
2005,-2.203,2004,0.700,El Nino,weak,Brazil,Production Arabica,26000.000,-24.198
2006,0.519,2005,-0.900,La Nina,weak,Brazil,Production Arabica,36000.000,38.462
2007,-7.423,2006,0.900,El Nino,weak,Brazil,Production Arabica,27650.000,-23.194
2008,6.285,2007,-1.600,La Nina,strong,Brazil,Production Arabica,40500.000,46.474
2009,1.552,2008,-1.000,La Nina,moderate,Brazil,Production Arabica,33000.000,-18.519
2010,1.345,2009,1.500,El Nino,strong,Brazil,Production Arabica,41800.000,26.667
2011,-3.171,2010,-1.600,La Nina,strong,Brazil,Production Arabica,34700.000,-16.986
2012,-1.346,2011,-1.000,La Nina,moderate,Brazil,Production Arabica,42100.000,21.326
2013,21.313,2012,-0.600,neutral,,Brazil,Production Arabica,41800.000,-0.713
2014,-18.961,2013,-0.500,neutral,,Brazil,Production Arabica,37300.000,-10.766
2015,-3.004,2014,1.000,El Nino,moderate,Brazil,Production Arabica,36100.000,-3.217
2016,3.033,2015,2.300,El Nino,very strong,Brazil,Production Arabica,45600.000,26.316
2017,-0.298,2016,-1.000,La Nina,moderate,Brazil,Production Arabica,39500.000,-13.377
2018,4.037,2017,-1.100,La Nina,moderate,Brazil,Production Arabica,49700.000,25.823
2019,4.342,2018,0.800,El Nino,weak,Brazil,Production Arabica,42000.000,-15.493
2020,9.572,2019,-0.700,La Nina,weak,Brazil,Production Arabica,49700.000,18.333
2021,-9.052,2020,-1.500,La Nina,strong,Brazil,Production Arabica,36400.000,-26.761
2022,-17.830,2021,-1.300,La Nina,moderate,Brazil,Production Arabica,39800.000,9.341
2023,22.634,2022,-1.100,La Nina,moderate,Brazil,Production Arabica,44900.000,12.814
2024,-3.243,2023,1.400,El Nino,moderate,Brazil,Production Arabica,44500.000,-0.891
2002,21.427,2001,-0.300,neutral,,Brazil,Production Robusta,12000.000,12.150
2004,-12.395,2003,0.400,neutral,,Brazil,Production Robusta,9300.000,-3.125
2005,-1.449,2004,0.700,El Nino,weak,Brazil,Production Robusta,10100.000,8.602
2006,-2.074,2005,-0.900,La Nina,weak,Brazil,Production Robusta,10700.000,5.941
2007,1.003,2006,0.900,El Nino,weak,Brazil,Production Robusta,11450.000,7.009
2008,9.636,2007,-1.600,La Nina,strong,Brazil,Production Robusta,12800.000,11.790
2009,-8.154,2008,-1.000,La Nina,moderate,Brazil,Production Robusta,11800.000,-7.812
2010,-7.061,2009,1.500,El Nino,strong,Brazil,Production Robusta,12700.000,7.627
2011,4.793,2010,-1.600,La Nina,strong,Brazil,Production Robusta,14500.000,14.173
2012,3.934,2011,-1.000,La Nina,moderate,Brazil,Production Robusta,15500.000,6.897
2013,2.247,2012,-0.600,neutral,,Brazil,Production Robusta,15400.000,-0.645
2014,24.215,2013,-0.500,neutral,,Brazil,Production Robusta,17000.000,10.390
2015,-4.045,2014,1.000,El Nino,moderate,Brazil,Production Robusta,13300.000,-21.765
2016,-29.742,2015,2.300,El Nino,very strong,Brazil,Production Robusta,10500.000,-21.053
2017,-14.628,2016,-1.000,La Nina,moderate,Brazil,Production Robusta,12600.000,20.000
2018,8.649,2017,-1.100,La Nina,moderate,Brazil,Production Robusta,16800.000,33.333
2019,3.864,2018,0.800,El Nino,weak,Brazil,Production Robusta,18500.000,10.119
2020,1.184,2019,-0.700,La Nina,weak,Brazil,Production Robusta,20200.000,9.189
2021,4.771,2020,-1.500,La Nina,strong,Brazil,Production Robusta,21700.000,7.426
2022,8.120,2021,-1.300,La Nina,moderate,Brazil,Production Robusta,22800.000,5.069
2023,-5.354,2022,-1.100,La Nina,moderate,Brazil,Production Robusta,21400.000,-6.140
2024,-9.038,2023,1.400,El Nino,moderate,Brazil,Production Robusta,21000.000,-1.869
2002,29.466,2001,-0.300,neutral,,Brazil,Production Total,53600.000,52.707
2004,-6.010,2003,0.400,neutral,,Brazil,Production Total,43600.000,31.325
2005,-2.001,2004,0.700,El Nino,weak,Brazil,Production Total,36100.000,-17.202
2006,-0.150,2005,-0.900,La Nina,weak,Brazil,Production Total,46700.000,29.363
2007,-5.292,2006,0.900,El Nino,weak,Brazil,Production Total,39100.000,-16.274
2008,7.123,2007,-1.600,La Nina,strong,Brazil,Production Total,53300.000,36.317
2009,-0.993,2008,-1.000,La Nina,moderate,Brazil,Production Total,44800.000,-15.947
2010,-0.958,2009,1.500,El Nino,strong,Brazil,Production Total,54500.000,21.652
2011,-1.143,2010,-1.600,La Nina,strong,Brazil,Production Total,49200.000,-9.725
2012,0.299,2011,-1.000,La Nina,moderate,Brazil,Production Total,57700.000,17.276
2013,15.789,2012,-0.600,neutral,,Brazil,Production Total,57200.000,-0.867
2014,-8.261,2013,-0.500,neutral,,Brazil,Production Total,54300.000,-5.070
2015,-3.260,2014,1.000,El Nino,moderate,Brazil,Production Total,49400.000,-9.024
2016,-5.800,2015,2.300,El Nino,very strong,Brazil,Production Total,56100.000,13.563
2017,-3.942,2016,-1.000,La Nina,moderate,Brazil,Production Total,52100.000,-7.130
2018,5.228,2017,-1.100,La Nina,moderate,Brazil,Production Total,66500.000,27.639
2019,4.210,2018,0.800,El Nino,weak,Brazil,Production Total,60500.000,-9.023
2020,6.856,2019,-0.700,La Nina,weak,Brazil,Production Total,69900.000,15.537
2021,-4.616,2020,-1.500,La Nina,strong,Brazil,Production Total,58100.000,-16.881
2022,-9.397,2021,-1.300,La Nina,moderate,Brazil,Production Total,62600.000,7.745
2023,12.453,2022,-1.100,La Nina,moderate,Brazil,Production Total,66300.000,5.911
2024,-5.306,2023,1.400,El Nino,moderate,Brazil,Production Total,65500.000,-1.207
2002,0.835,2001,-0.300,neutral,,Brazil,Area total,2535.000,1.889
2004,-6.145,2003,0.400,neutral,,Brazil,Area total,2379.000,-11.065
2005,-1.245,2004,0.700,El Nino,weak,Brazil,Area total,2458.000,3.321
2006,1.981,2005,-0.900,La Nina,weak,Brazil,Area total,2471.000,0.529
2007,-0.246,2006,0.900,El Nino,weak,Brazil,Area total,2431.000,-1.619
2008,-0.103,2007,-1.600,La Nina,strong,Brazil,Area total,2424.000,-0.288
2009,-0.972,2008,-1.000,La Nina,moderate,Brazil,Area total,2395.000,-1.196
2010,0.208,2009,1.500,El Nino,strong,Brazil,Area total,2409.000,0.585
2011,0.073,2010,-1.600,La Nina,strong,Brazil,Area total,2410.000,0.042
2012,-1.547,2011,-1.000,La Nina,moderate,Brazil,Area total,2387.000,-0.954
2013,1.286,2012,-0.600,neutral,,Brazil,Area total,2442.000,2.304
2014,1.026,2013,-0.500,neutral,,Brazil,Area total,2437.000,-0.205
2015,-0.506,2014,1.000,El Nino,moderate,Brazil,Area total,2410.000,-1.108
2016,-0.021,2015,2.300,El Nino,very strong,Brazil,Area total,2410.000,0.000
2017,-0.052,2016,-1.000,La Nina,moderate,Brazil,Area total,2400.000,-0.415
2018,-0.416,2017,-1.100,La Nina,moderate,Brazil,Area total,2395.000,-0.208
2019,-1.392,2018,0.800,El Nino,weak,Brazil,Area total,2390.000,-0.209
2020,-0.820,2019,-0.700,La Nina,weak,Brazil,Area total,2420.000,1.255
2021,1.070,2020,-1.500,La Nina,strong,Brazil,Area total,2480.000,2.479
2022,3.473,2021,-1.300,La Nina,moderate,Brazil,Area total,2495.000,0.605
2023,6.075,2022,-1.100,La Nina,moderate,Brazil,Area total,2510.000,0.601
2024,-7.645,2023,1.400,El Nino,moderate,Brazil,Area total,2235.000,-10.956
2002,-8.711,2001,-0.300,neutral,,Brazil,Area bearing,2005.000,-2.433
2004,-3.109,2003,0.400,neutral,,Brazil,Area bearing,2174.000,-7.881
2005,1.609,2004,0.700,El Nino,weak,Brazil,Area bearing,2305.000,6.026
2006,3.167,2005,-0.900,La Nina,weak,Brazil,Area bearing,2305.000,0.000
2007,-0.490,2006,0.900,El Nino,weak,Brazil,Area bearing,2235.000,-3.037
2008,0.293,2007,-1.600,La Nina,strong,Brazil,Area bearing,2223.000,-0.537
2009,-2.038,2008,-1.000,La Nina,moderate,Brazil,Area bearing,2151.000,-3.239
2010,0.823,2009,1.500,El Nino,strong,Brazil,Area bearing,2175.000,1.116
2011,0.397,2010,-1.600,La Nina,strong,Brazil,Area bearing,2150.000,-1.149
2012,-1.520,2011,-1.000,La Nina,moderate,Brazil,Area bearing,2105.000,-2.093
2013,1.485,2012,-0.600,neutral,,Brazil,Area bearing,2135.000,1.425
2014,-0.239,2013,-0.500,neutral,,Brazil,Area bearing,2090.000,-2.108
2015,-0.421,2014,1.000,El Nino,moderate,Brazil,Area bearing,2070.000,-0.957
2016,0.485,2015,2.300,El Nino,very strong,Brazil,Area bearing,2070.000,0.000
2017,-1.942,2016,-1.000,La Nina,moderate,Brazil,Area bearing,2020.000,-2.415
2018,0.122,2017,-1.100,La Nina,moderate,Brazil,Area bearing,2060.000,1.980
2019,-0.366,2018,0.800,El Nino,weak,Brazil,Area bearing,2040.000,-0.971
2020,3.321,2019,-0.700,La Nina,weak,Brazil,Area bearing,2100.000,2.941
2021,-1.832,2020,-1.500,La Nina,strong,Brazil,Area bearing,2010.000,-4.286
2022,0.736,2021,-1.300,La Nina,moderate,Brazil,Area bearing,2020.000,0.498
2023,4.505,2022,-1.100,La Nina,moderate,Brazil,Area bearing,2030.000,0.495
2024,-4.502,2023,1.400,El Nino,moderate,Brazil,Area bearing,1881.000,-7.340
2002,41.638,2001,-0.300,neutral,,Brazil,Yield (production / bearing area),26.733,56.515
2004,-4.624,2003,0.400,neutral,,Brazil,Yield (production / bearing area),20.055,42.561
2005,-3.071,2004,0.700,El Nino,weak,Brazil,Yield (production / bearing area),15.662,-21.908
2006,-4.133,2005,-0.900,La Nina,weak,Brazil,Yield (production / bearing area),20.260,29.363
2007,-4.620,2006,0.900,El Nino,weak,Brazil,Yield (production / bearing area),17.494,-13.652
2008,6.279,2007,-1.600,La Nina,strong,Brazil,Yield (production / bearing area),23.977,37.053
2009,1.043,2008,-1.000,La Nina,moderate,Brazil,Yield (production / bearing area),20.828,-13.134
2010,-2.005,2009,1.500,El Nino,strong,Brazil,Yield (production / bearing area),25.058,20.310
2011,-1.523,2010,-1.600,La Nina,strong,Brazil,Yield (production / bearing area),22.884,-8.675
2012,1.889,2011,-1.000,La Nina,moderate,Brazil,Yield (production / bearing area),27.411,19.784
2013,14.078,2012,-0.600,neutral,,Brazil,Yield (production / bearing area),26.792,-2.259
2014,-7.892,2013,-0.500,neutral,,Brazil,Yield (production / bearing area),25.981,-3.026
2015,-3.013,2014,1.000,El Nino,moderate,Brazil,Yield (production / bearing area),23.865,-8.145
2016,-6.081,2015,2.300,El Nino,very strong,Brazil,Yield (production / bearing area),27.101,13.563
2017,-2.401,2016,-1.000,La Nina,moderate,Brazil,Yield (production / bearing area),25.792,-4.831
2018,5.416,2017,-1.100,La Nina,moderate,Brazil,Yield (production / bearing area),32.282,25.161
2019,4.496,2018,0.800,El Nino,weak,Brazil,Yield (production / bearing area),29.657,-8.131
2020,3.518,2019,-0.700,La Nina,weak,Brazil,Yield (production / bearing area),33.286,12.236
2021,-3.118,2020,-1.500,La Nina,strong,Brazil,Yield (production / bearing area),28.905,-13.159
2022,-9.850,2021,-1.300,La Nina,moderate,Brazil,Yield (production / bearing area),30.990,7.212
2023,7.065,2022,-1.100,La Nina,moderate,Brazil,Yield (production / bearing area),32.660,5.389
2024,-0.107,2023,1.400,El Nino,moderate,Brazil,Yield (production / bearing area),34.822,6.619
1999,-7.373,1999,-1.700,La Nina,strong,Colombia,Production Arabica,10000.000,-7.987
2000,-3.442,2000,-0.700,La Nina,weak,Colombia,Production Arabica,10520.000,5.200
2001,1.652,2001,-0.300,neutral,,Colombia,Production Arabica,11000.000,4.563
2002,6.219,2002,1.300,El Nino,moderate,Colombia,Production Arabica,11712.000,6.473
2003,-4.297,2003,0.400,neutral,,Colombia,Production Arabica,11053.000,-5.627
2004,-1.608,2004,0.700,El Nino,weak,Colombia,Production Arabica,11532.000,4.334
2005,1.159,2005,-0.900,La Nina,weak,Colombia,Production Arabica,11953.000,3.651
2006,8.938,2006,0.900,El Nino,weak,Colombia,Production Arabica,12164.000,1.765
2007,22.453,2007,-1.600,La Nina,strong,Colombia,Production Arabica,12515.000,2.886
2008,-16.095,2008,-1.000,La Nina,moderate,Colombia,Production Arabica,8664.000,-30.771
2009,-13.274,2009,1.500,El Nino,strong,Colombia,Production Arabica,8100.000,-6.510
2010,-0.716,2010,-1.600,La Nina,strong,Colombia,Production Arabica,8525.000,5.247
2011,-20.729,2011,-1.000,La Nina,moderate,Colombia,Production Arabica,7655.000,-10.205
2012,-4.445,2012,-0.600,neutral,,Colombia,Production Arabica,9927.000,29.680
2013,7.616,2013,-0.500,neutral,,Colombia,Production Arabica,12075.000,21.638
2014,5.134,2014,1.000,El Nino,moderate,Colombia,Production Arabica,13300.000,10.145
2015,4.089,2015,2.300,El Nino,very strong,Colombia,Production Arabica,14000.000,5.263
2016,6.191,2016,-1.000,La Nina,moderate,Colombia,Production Arabica,14600.000,4.286
2017,-2.245,2017,-1.100,La Nina,moderate,Colombia,Production Arabica,13825.000,-5.308
2018,-0.796,2018,0.800,El Nino,weak,Colombia,Production Arabica,13870.000,0.325
2019,6.626,2019,-0.700,La Nina,weak,Colombia,Production Arabica,14100.000,1.658
2020,6.202,2020,-1.500,La Nina,strong,Colombia,Production Arabica,13400.000,-4.965
2021,-7.378,2021,-1.300,La Nina,moderate,Colombia,Production Arabica,11800.000,-11.940
2022,-18.878,2022,-1.100,La Nina,moderate,Colombia,Production Arabica,10700.000,-9.322
2023,2.490,2023,1.400,El Nino,moderate,Colombia,Production Arabica,12760.000,19.252
